css-1m051bw,css-qgunke,css-1fnccdf,css-1fnccdf 2,css-chan6m,raw__09f24__T4Ezm,css-1fnccdf 3,css-1lr1m88,css-1lr1m88 2,,,,,,,
Leilani R.,"Montrose, Montrose, CA",0,1,6/15/2019,"Let me say this I love this urgent care! The front desk acted a tad bit unprofessional, over all weren't rude so I guess I can't complain. Back office experience on the other hand was great, the X-ray specialist was one of a kind and had very good bedside manners. If im not mistaken the lady who took my X-rays was Erika, she was a very compassionate person. I haven't come across such a caring group of people in a long time, let alone in an urgent care or any medical facility! Dr. Chung took his time with me and was very thorough. The clinical staff were also great & attentive to my needs. I'd have to say my over all experience was great and I'd most defiantly be coming back when I'm in need of some urgent care!!!",,,,,,,,,,
Jhing E.,"Koreatown, Los Angeles, CA",2,15,2/25/2019,"My dad went here to be seen. The doctor saw him immediately and assess him. However, it just took a long time for the lab and xray to be done. We waited in the room for over an hour. But, it's still better than other urgent care. I will still recommend this clinic.",2,,,,,,,,,
Alana T.,"Los Angeles, CA",273,32,2/2/2020,seriously the best urgent care ever. the staff  is so friendly and accommodating and they actually care about you!!!! honestly the best medical service i have ever gotten. usually not too long of a wait either. 10/10!,12,,,,,,,,,
R M.,"Los Angeles, CA",0,2,8/10/2016,"It is the best Urgent care i have ever been into. I was seen by Dr. Ghorabi. He examined me and explained my illness very well. The medication he prescribed worked well. The next day i received a call from the staff checking on my health, and i was feeling much better already.The place is very clean, Caring doctors and staff.The parking is free, and convenient, the wait is less than ten minutes.  They accepted insurance. You could also buy your medicine from there.  They open 7 days/week. So glad that I discovered this place.What else more could you ask for!",,3,3,,,,,,,
Willow M.,"Los Angeles, CA",257,4,6/14/2018,This is the best Urgent Care I've ever been to. I arrived around 9:30 and was immediately brought into a room. Everyone was very kind. Dr. Jeannette Martello not only helped me with my ear pain but also gave me advice on my skin (breakouts). She took the time to write down recommended products and a routine for me. She was so caring and I'm so thankful for her advice! Thank you Downtown Urgent Care!!,3,6,1,,,,,,,
Jason T.,"Pine Island, NY",194,2,11/26/2019,Dr. Chung and staff are fantastic. Really friendly welcoming and gay friendly. Everyone took the time to walk me through everything and give me treatment options with pricing. The appointment didn't feel rushed and my prescriptions were available there in the waiting room. In and out in an hour!,,1,,,,,,,,
E H.,"Pasadena, CA",0,13,5/12/2019,"I've been in to this urgent care clinic twice, and both times I've been blown away not only by their kindness, but also with how willing they are to go above and beyond to make sure you're well taken care of. Just now I went in (on Mother's Day Sunday, no less), had my vitals taken by the absolutely darling nurse named Ahn, and was treated extremely promptly by Dr. Martello. She is so knowledgeable and kind, I felt almost like my own mother was taking care of me. I can't sing this place's praises enough. I can't believe how easy they made this whole experience.",,16,,,,,,,,
Shane R.,"Los Angeles, CA",4,2,11/29/2018,"Wasn't impressed by the level of service I received specifically from the doctor, but the clinic called, asked for my feedback and even refunded the (small) fee I had to pay. Enough to bump up my rating.",,1,,,,,,,,
Ari O.,"Los Angeles, CA",6,14,9/15/2016,"Amazing urgent care, been there twice and they are patient, sweet, nice, fair, interested, caring. This place is unbelievable in a very very very good way.Dr. Peter Chung is the nicest, most patient and understanding Dr you could ever get especially when you are in so much pain.",20,2,,,,,,,,
Joseph B.,"Los Angeles, CA",7,14,12/24/2018,"Absolutely amazing staff. Free parking. First time here, and walked in right away. Accepted my insurance 100%. Thank you!!",2,,,,,,,,,
Danica O.,"Los Angeles, CA",44,17,3/12/2016,"I was torn when it came to writing this review. Don't want to let everyone in on this newly discovered gem of a place.  When it comes to urgent care experiences, and I have had many, this was hands down the best. The staff (friendly and informative), doctor (thorough and calming) and free parking (no one wants to circle block after block when they're sick) made my visit stress-free. My appointment was so good that I'm considering making Dr. Rastegar my Primary Care Physician. And they called the following day to check-in on me. Wouldn't it be nice if this type of care was the norm? Bottomline, my visit was the lemonade that came from my lemon of a Saturday morning.",,5,1,,,,,,,
George M.,"Van Nuys, Los Angeles, CA",0,1,5/31/2018,I honestly hardly write any reviews for anything but the staff and experience was unlike any other .  I had started feeling ill early this week with a body aches and flue like symptoms. Right after a business meeting i almost felt like i was going to faint and had no choice but to stop by and get checked out.From beginning to the end the staff was great . Check in was easy and quick... i was getting helped by Regina the nicest most polite nurse I've dealt with. Made me feel calm and relaxed went above and beyond to help me .  I really dont like dealing with nurses and doctors i feel like there shady and not always honest.. not here they ran multiple test explained what my condition was and it turned out i was allergic to something i never knew about... Thanks again to The lovely Nurse and Doctor that treated me!!,,3,,,,,,,,
Glenda M.,"Monterey Park, CA",23,26,6/21/2019,"One star for services on Friday. Not sure the dr's name (Indian man) I came in because I have a strange sensation in my chest (left area, with some pain in my arm) he looked at me like If i was making things up. He said to tell him exactly what is going on. F%##! If I knew what was wrong I wouldn't be there. He was so incredibly rude. He said I needed an EKG.. since I'm claiming something wrong with my chest. I went ahead with the test. Everything was normal. I complained to the manager. I wasn't charge for the visit... I've been here twice, and never had a problem. I was told he works only works on Friday's. Definitely won't be coming back.",,2,1,,,,,,,
